2021-02-09 14:43:34,340 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/govi/.local/share/applications/Lutris.desktop": constructor returned NULL
2021-02-09 14:43:34,340 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/govi/.local/share/applications/timeshift-gtk-2.desktop": constructor returned NULL
2021-02-09 14:43:34,340 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/govi/.local/share/applications/Games-steam.desktop": constructor returned NULL
2021-02-09 14:43:34,341 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/govi/.local/share/applications/conky.desktop": constructor returned NULL
2021-02-09 14:43:34,341 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/govi/.local/share/applications/TeamViewer.desktop": constructor returned NULL
2021-02-09 14:43:34,342 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kded5.desktop": constructor returned NULL
2021-02-09 14:43:34,345 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 66 apps in the system
2021-02-09 14:43:34,345 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.02 seconds
2021-02-09 14:43:34,351 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2021-02-09 14:43:34,422 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
2021-02-09 15:15:04,045 | INFO | ulauncher: _reload_configs() | Received SIGHUP. Reloading configs
