Frame, Time (ms), Delta (ms) , Memory (mb)
  216,3442.097,15.645,5498
  217,3455.935,13.838,5498
  218,3470.837,14.902,5498
  219,3482.176,11.339,5498
  220,3496.247,14.071,5498
  221,3506.917,10.670,5498
  222,3526.705,19.788,5498
  223,3537.244,10.539,5498
  224,3555.089,17.845,5498
  225,3567.791,12.702,5498
  226,3581.872,14.081,5498
  227,3597.785,15.913,5498
  228,3617.074,19.289,5498
  229,3627.542,10.468,5498
  230,3647.959,20.417,5498
  231,3661.072,13.113,5498
  232,3678.305,17.233,5498
  233,3686.944, 8.639,5498
  234,3702.636,15.692,5498
  235,3722.115,19.479,5498
  236,3739.335,17.220,5498
  237,3752.340,13.005,5498
  238,3763.377,11.037,5498
  239,3778.828,15.451,5498
  240,3795.327,16.499,5498
  241,3804.360, 9.033,5498
  242,3821.066,16.706,5498
  243,3835.954,14.888,5498
  244,3850.144,14.190,5498
  245,3865.488,15.344,5498
  246,3879.646,14.158,5498
  247,3894.241,14.595,5498
  248,3912.967,18.726,5498
  249,3923.577,10.610,5498
  250,3938.140,14.563,5498
  251,3955.354,17.214,5498
  252,3972.186,16.832,5498
  253,3983.219,11.033,5498
  254,4001.295,18.076,5498
  255,4016.117,14.822,5498
  256,4026.776,10.659,5498
  257,4041.317,14.541,5498
  258,4060.698,19.381,5498
  259,4070.912,10.214,5498
  260,4084.998,14.086,5498
  261,4099.222,14.224,5498
  262,4118.477,19.255,5498
  263,4133.339,14.862,5498
  264,4147.137,13.798,5498
  265,4158.662,11.525,5498
  266,4173.713,15.051,5498
  267,4187.274,13.561,5498
  268,4206.306,19.032,5498
  269,4217.252,10.946,5498
  270,4231.022,13.770,5498
  271,4249.285,18.263,5498
  272,4261.842,12.557,5497
  273,4278.956,17.114,5497
  274,4294.768,15.812,5497
  275,4313.639,18.871,5497
  276,4326.312,12.673,5497
  277,4334.747, 8.435,5497
  278,4351.676,16.929,5497
  279,4362.922,11.246,5497
  280,4378.761,15.839,5497
  281,4394.250,15.489,5497
  282,4408.641,14.391,5497
  283,4422.984,14.343,5497
  284,4441.471,18.487,5497
  285,4460.067,18.596,5497
  286,4475.576,15.509,5497
  287,4489.346,13.770,5497
  288,4502.844,13.498,5497
  289,4518.850,16.006,5497
  290,4528.634, 9.784,5497
  291,4540.800,12.166,5497
  292,4557.330,16.530,5497
  293,4573.336,16.006,5497
  294,4583.899,10.563,5497
  295,4600.985,17.086,5497
  296,4616.404,15.419,5497
  297,4629.248,12.844,5497
  298,4644.184,14.936,5497
  299,4658.882,14.698,5497
  300,4669.022,10.140,5497
