os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16304496,5.11.10-zen1-1-zen,4.6 Mesa 21.0.1
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
26.0894,37638,53.3333,0,64,66,1000,1500,1.59996,5.51177,479484
25.6536,38048,53.3333,0,64,66,1000,1500,1.59996,5.51177,100541882
26.7964,33899,53.3333,0,64,66,1000,1500,1.59996,5.51177,200614463
27.6015,32313,53.3333,0,64,66,1000,1500,1.59996,5.51177,300675173
27.8187,39773,53.8961,0,64,67,1000,1500,1.59996,5.51199,400741934
29.4279,32932,53.8961,0,64,67,1000,1500,1.59996,5.51199,500810775
27.709,39368,53.8961,0,64,67,1000,1500,1.59996,5.51199,600865989
26.6401,40986,53.8961,0,64,67,1000,1500,1.59996,5.51199,700931921
26.6479,36012,53.8961,0,64,67,1000,1500,1.59996,5.51199,800986572
27.0339,37517,53.8961,0,64,67,1000,1500,1.59996,5.51199,901045014
26.3099,34756,55.2885,0,64,67,1000,1500,1.5843,5.51085,1001101698
27.3042,36747,55.2885,0,64,67,1000,1500,1.5843,5.51085,1101167756
28.0707,35720,55.2885,0,64,67,1000,1500,1.5843,5.51085,1201234654
25.1469,74871,55.2885,0,64,67,1000,1500,1.5843,5.51085,1301290779
25.1379,35859,55.2885,0,64,67,1000,1500,1.5843,5.51085,1401358804
25.9676,39482,50.2513,0,63,66,1000,1500,1.59996,5.18267,1501418552
26.3482,37892,50.2513,0,63,66,1000,1500,1.59996,5.18267,1601475983
26.0087,40447,50.2513,0,63,66,1000,1500,1.59996,5.18267,1701548254
26.8775,34596,50.2513,0,63,66,1000,1500,1.59996,5.18267,1801605894
27.26,36993,50.2513,0,63,66,1000,1500,1.59996,5.18267,1901661804
27.5771,36262,52.9412,0,63,66,1000,1500,1.60024,5.18159,2001719066
28.3797,34036,52.9412,0,63,66,1000,1500,1.60024,5.18159,2101775573
28.415,35517,52.9412,0,63,66,1000,1500,1.60024,5.18159,2201834810
