os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16304460,5.11.16-zen1-1-zen,4.6 Mesa 21.0.3
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
36.9226,33313,36.5714,0,60,72,1000,1500,2.50689,6.40769,165090
29.9222,33420,48,0,60,72,1000,1500,2.50689,6.40828,100223621
34.2886,33332,48,0,60,72,1000,1500,2.50689,6.40828,200293511
36.9191,16678,48,0,60,72,1000,1500,2.50689,6.40828,300354186
36.002,33282,48,0,60,72,1000,1500,2.50689,6.40828,400383176
36.9116,16843,48,0,60,72,1000,1500,2.50689,6.40828,500449406
36.77,16735,40.5797,0,63,72,1000,1500,2.50689,6.40597,600506356
34.3038,33328,40.5797,0,63,72,1000,1500,2.50689,6.40597,700576215
36.9275,16697,40.5797,0,63,72,1000,1500,2.50689,6.40597,800633524
36.6558,16802,40.5797,0,63,72,1000,1500,2.50689,6.40597,900704668
36.0043,33325,40.5797,0,63,72,1000,1500,2.50689,6.40597,1000760971
36.002,33349,40.5797,0,63,72,1000,1500,2.50689,6.40597,1100820274
