os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16306680,5.10.16-zen1-1-zen,4.6 Mesa 20.3.4
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
44.7169,22249,51.7647,0,54,63,1000,1500,1.43612,5.677,164573
45.1867,23499,51.7647,0,54,63,1000,1500,1.43612,5.677,100224411
45.9308,20809,51.7647,0,54,63,1000,1500,1.43612,5.677,200282573
46.1648,21940,53.0435,0,54,63,1000,1500,1.43612,5.67593,300345505
47.1654,21856,53.0435,0,54,63,1000,1500,1.43612,5.67593,400457774
47.0657,20754,53.0435,0,54,63,1000,1500,1.43612,5.67593,500516290
46.4854,25401,53.0435,0,54,63,1000,1500,1.43612,5.67593,600576133
47.0078,21160,53.0435,0,54,63,1000,1500,1.43612,5.67593,700632450
47.0347,21464,53.0435,0,54,63,1000,1500,1.43612,5.67593,800689442
46.5295,12237,51.269,0,58,63,1000,1500,1.43583,5.67857,900761247
44.134,23076,51.269,0,58,63,1000,1500,1.43583,5.67857,1000836047
45.4644,21261,51.269,0,58,63,1000,1500,1.43583,5.67857,1100904399
45.8955,21014,51.269,0,58,63,1000,1500,1.43583,5.67857,1200962776
45.9684,21907,51.269,0,58,63,1000,1500,1.43583,5.67857,1301032119
48.24,19718,53.4653,0,58,64,1000,1500,1.43583,5.67953,1401101436
47.3566,18568,53.4653,0,58,64,1000,1500,1.43583,5.67953,1501195944
47.0939,23150,53.4653,0,58,64,1000,1500,1.43583,5.67953,1601229788
47.1791,22876,53.4653,0,58,64,1000,1500,1.43583,5.67953,1701287662
47.0065,23942,53.4653,0,58,64,1000,1500,1.43583,5.67953,1801347550
46.6577,15146,51.269,0,57,64,1000,1500,1.43612,5.68005,1901421915
44.0837,19379,51.269,0,57,64,1000,1500,1.43612,5.68005,2001933243
45.6095,21274,51.269,0,57,64,1000,1500,1.43612,5.68005,2101989255
45.3916,25412,51.269,0,57,64,1000,1500,1.43612,5.68005,2202046417
46.2763,19575,51.269,0,57,64,1000,1500,1.43612,5.68005,2302101722
50.6868,21952,53.3333,0,57,64,1000,1500,1.43612,5.68319,2402155566
