os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16269044,5.12.12-zen1-1-zen,4.6.0 NVIDIA 465.31
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
59.8726,15192,54.7826,60,61,58,1935,7000,3.11835,5.47024,1961914
59.7265,15449,54.7826,60,61,58,1935,7000,3.11835,5.47024,102032226
59.8799,16351,54.7826,60,61,58,1935,7000,3.11835,5.47024,202089878
59.8043,17803,59.3023,60,61,58,1935,7000,3.11835,5.4692,302173387
59.9736,16688,59.3023,60,61,58,1935,7000,3.11835,5.4692,402229529
60.1304,16251,59.3023,60,61,58,1935,7000,3.11835,5.4692,502296867
60.101,17320,59.3023,60,61,58,1935,7000,3.11835,5.4692,602364914
59.9894,15909,59.3023,60,61,58,1935,7000,3.11835,5.4692,702432219
60.061,16472,52.9412,60,64,58,1935,7000,3.12616,5.47523,802500965
58.075,18918,52.9412,60,64,58,1935,7000,3.12616,5.47523,902558447
59.5375,18616,52.9412,60,64,58,1935,7000,3.12616,5.47523,1002646133
59.7492,16640,52.9412,60,64,58,1935,7000,3.12616,5.47523,1102712930
59.9731,15227,52.9412,60,64,58,1935,7000,3.12616,5.47523,1202769257
60.4294,15358,57,61,64,58,1935,7000,3.11835,5.47672,1302834584
60.1826,14858,57,61,64,58,1935,7000,3.11835,5.47672,1402867601
60.0551,12979,57,61,64,58,1935,7000,3.11835,5.47672,1502922376
59.8319,15465,57,61,64,58,1935,7000,3.11835,5.47672,1602977546
59.6935,17989,57,61,64,58,1935,7000,3.11835,5.47672,1703033990
59.6099,17893,52.7363,61,61,58,1935,7000,3.11835,5.47639,1803089526
60.3744,14743,52.7363,61,61,58,1935,7000,3.11835,5.47639,1903145181
60.31,15184,52.7363,61,61,58,1935,7000,3.11835,5.47639,2003213723
59.7419,19250,52.7363,61,61,58,1935,7000,3.11835,5.47639,2103268504
60.1724,15213,52.7363,61,61,58,1935,7000,3.11835,5.47639,2203336853
60.1492,17448,57.0732,60,61,58,1935,7000,3.11835,5.47659,2303408847
59.4326,15931,57.0732,60,61,58,1935,7000,3.11835,5.47659,2403491727
60.0055,17603,57.0732,60,61,58,1935,7000,3.11835,5.47659,2503547111
59.9059,14382,57.0732,60,61,58,1935,7000,3.11835,5.47659,2603617535
60.0511,16612,57.0732,60,61,58,1935,7000,3.11835,5.47659,2703700024
64.3811,15316,49.5098,60,59,58,1935,7000,3.10077,5.46997,2803766894
60.7497,14508,49.5098,60,59,58,1935,7000,3.10077,5.46997,2903836962
60.3069,17920,49.5098,60,59,58,1935,7000,3.10077,5.46997,3003873711
60.4228,16169,49.5098,60,59,58,1935,7000,3.10077,5.46997,3103939166
59.8838,17770,49.5098,60,59,58,1935,7000,3.10077,5.46997,3203994015
58.6338,17055,47.7833,58,59,58,1935,7000,3.10077,5.47112,3304052432
56.9666,22839,47.7833,58,59,58,1935,7000,3.10077,5.47112,3404108428
59.9905,14880,47.7833,58,59,58,1935,7000,3.10077,5.47112,3504178357
59.6078,18730,47.7833,58,59,58,1935,7000,3.10077,5.47112,3604235724
59.962,16972,47.7833,58,59,58,1935,7000,3.10077,5.47112,3704305396
59.8681,17909,44.9275,58,61,58,1935,7000,3.10077,5.47552,3804375428
60.2918,15720,44.9275,58,61,58,1935,7000,3.10077,5.47552,3904447263
60.3088,15799,44.9275,58,61,58,1935,7000,3.10077,5.47552,4004512708
59.9163,15212,44.9275,58,61,58,1935,7000,3.10077,5.47552,4104582024
59.8398,16835,44.9275,58,61,58,1935,7000,3.10077,5.47552,4204647282
59.7518,19107,49,58,61,58,1935,7000,3.10077,5.47617,4304716074
61.3905,16356,49,58,61,58,1935,7000,3.10077,5.47617,4404771058
57.4002,18201,49,58,61,58,1935,7000,3.10077,5.47617,4504851000
60.632,15066,49,58,61,58,1935,7000,3.10077,5.47617,4604872357
60.4102,16122,49,58,61,58,1935,7000,3.10077,5.47617,4704927948
60.2519,16455,49,58,61,58,1935,7000,3.10077,5.47617,4805001356
59.5174,17639,49.2683,58,58,58,1935,7000,3.10077,5.47617,4905056459
59.6558,17170,49.2683,58,58,58,1935,7000,3.10077,5.47617,5005112977
59.9303,17642,49.2683,58,58,58,1935,7000,3.10077,5.47617,5105186722
