os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16304496,5.11.10-zen1-1-zen,4.6 Mesa 21.0.1
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
53.4995,16640,35,0,51,64,1000,1500,1.60276,4.69246,175441
53.9665,17236,35,0,51,64,1000,1500,1.60276,4.69246,100245618
53.9665,17236,35,0,51,64,1000,1500,1.60276,4.69246,200322558
31.1423,16656,35,0,51,64,1000,1500,1.60276,4.69246,300375165
60.0186,16667,34.4828,0,49,63,1000,1500,1.60472,4.69596,400431159
52.4993,16673,34.4828,0,49,63,1000,1500,1.60472,4.69596,500489866
55.6812,16814,34.4828,0,49,63,1000,1500,1.60472,4.69596,600546482
53.9871,16495,34.4828,0,49,63,1000,1500,1.60472,4.69596,700604037
53.0797,16632,34.4828,0,49,63,1000,1500,1.60472,4.69596,800661082
60.0637,16645,31.5,0,49,64,1000,1500,1.6201,4.69999,900719478
59.9975,16688,31.5,0,49,64,1000,1500,1.6201,4.69999,1000777162
59.9883,16709,31.5,0,49,64,1000,1500,1.6201,4.69999,1100836003
56.9982,16677,31.5,0,49,64,1000,1500,1.6201,4.69999,1200891649
57.691,16626,31.5,0,49,64,1000,1500,1.6201,4.69999,1300948180
56.2486,33348,38.0282,0,51,64,1000,1500,1.61302,4.70025,1401006085
59.9934,16668,38.0282,0,51,64,1000,1500,1.61302,4.70025,1501063741
59.9928,16709,38.0282,0,51,64,1000,1500,1.61302,4.70025,1601119882
56.6642,16647,38.0282,0,51,64,1000,1500,1.61302,4.70025,1701180187
57.4966,16680,38.0282,0,51,64,1000,1500,1.61302,4.70025,1801238322
57.9754,16839,31.2821,0,51,64,1000,1500,1.61302,4.70128,1901300209
50.0907,16683,31.2821,0,51,64,1000,1500,1.61302,4.70128,2001363922
55.0553,16658,31.2821,0,51,64,1000,1500,1.61302,4.70128,2101420902
53.3654,16644,31.2821,0,51,64,1000,1500,1.61302,4.70128,2201476996
55.0241,16652,31.2821,0,51,64,1000,1500,1.61302,4.70128,2301533120
56.0184,16685,31.2821,0,51,64,1000,1500,1.61302,4.70128,2401588595
48.0065,16644,36.7647,0,54,64,1000,1500,1.61302,4.70107,2501644889
54.5491,16634,36.7647,0,54,64,1000,1500,1.61302,4.70107,2601703087
52.9392,33299,36.7647,0,54,64,1000,1500,1.61302,4.70107,2701758413
54.7765,16687,36.7647,0,54,64,1000,1500,1.61302,4.70107,2801813990
55.859,16680,36.7647,0,54,64,1000,1500,1.61302,4.70107,2901870395
60.0096,16655,29.7561,0,54,64,1000,1500,1.61302,4.70113,3001925449
59.8867,16970,29.7561,0,54,64,1000,1500,1.61302,4.70113,3101982934
56.2417,16684,29.7561,0,54,64,1000,1500,1.61302,4.70113,3202038692
57.2691,16666,29.7561,0,54,64,1000,1500,1.61302,4.70113,3302098340
57.7953,17135,29.7561,0,54,64,1000,1500,1.61302,4.70113,3402154587
60.0835,16671,36.6834,0,49,65,1000,1500,1.60444,4.70226,3502211155
59.9977,16778,36.6834,0,49,65,1000,1500,1.60444,4.70226,3602221226
55.9991,16682,36.6834,0,49,65,1000,1500,1.60444,4.70226,3702278100
51.829,16676,36.6834,0,49,65,1000,1500,1.60444,4.70226,3802335909
53.5769,16686,36.6834,0,49,65,1000,1500,1.60444,4.70226,3902368434
39.9992,33334,33.9806,0,49,65,1000,1500,1.60444,4.70376,4002509195
53.3227,16730,33.9806,0,49,65,1000,1500,1.60444,4.70376,4102669599
55.9778,16724,33.9806,0,49,65,1000,1500,1.60444,4.70376,4204368672
54.2839,16636,33.9806,0,49,65,1000,1500,1.60444,4.70376,4306366042
55.5521,16654,33.9806,0,49,65,1000,1500,1.60444,4.70376,4406422923
59.8516,16737,35.9606,0,50,65,1000,1500,1.61302,4.70362,4506479749
60.0065,16636,35.9606,0,50,65,1000,1500,1.61302,4.70362,4606535405
59.9999,16690,35.9606,0,50,65,1000,1500,1.61302,4.70362,4706592705
56.998,16657,35.9606,0,50,65,1000,1500,1.61302,4.70362,4806648736
57.6912,16658,35.9606,0,50,65,1000,1500,1.61302,4.70362,4906705403
59.8874,16698,34.466,0,50,65,1000,1500,1.60444,4.70316,5006776738
59.9911,16679,34.466,0,50,65,1000,1500,1.60444,4.70316,5106852977
59.8929,17034,34.466,0,50,65,1000,1500,1.60444,4.70316,5206910735
56.8327,16700,34.466,0,50,65,1000,1500,1.60444,4.70316,5307024252
57.5954,16645,34.466,0,50,65,1000,1500,1.60444,4.70316,5407377448
60.1106,16636,35.2041,0,52,65,1000,1500,1.60444,4.70344,5507720191
60.0117,16675,35.2041,0,52,65,1000,1500,1.60444,4.70344,5608069056
59.9067,17048,35.2041,0,52,65,1000,1500,1.60444,4.70344,5708437851
56.8449,16692,35.2041,0,52,65,1000,1500,1.60444,4.70344,5809369179
57.602,16664,35.2041,0,52,65,1000,1500,1.60444,4.70344,5909427740
60.0962,16640,31.6583,0,52,65,1000,1500,1.60444,4.70446,6009613510
60.0183,16620,31.6583,0,52,65,1000,1500,1.60444,4.70446,6109672021
60.0068,16662,31.6583,0,52,65,1000,1500,1.60444,4.70446,6209703147
56.842,16651,31.6583,0,52,65,1000,1500,1.60444,4.70446,6309759371
57.5936,16698,31.6583,0,52,65,1000,1500,1.60444,4.70446,6409814612
59.988,16670,37.8109,0,47,65,1000,1500,1.61159,4.7028,6509871333
59.931,16790,37.8109,0,47,65,1000,1500,1.61159,4.7028,6609933140
55.361,16633,37.8109,0,47,65,1000,1500,1.61159,4.7028,6709988421
53.6884,16617,37.8109,0,47,65,1000,1500,1.61159,4.7028,6810045566
52.7973,16507,37.8109,0,47,65,1000,1500,1.61159,4.7028,6910102041
60.0168,16662,32.8283,0,47,65,1000,1500,1.60473,4.70609,7010158197
60.0162,16653,32.8283,0,47,65,1000,1500,1.60473,4.70609,7110214018
55.383,16653,32.8283,0,47,65,1000,1500,1.60473,4.70609,7210652154
56.8442,16638,32.8283,0,47,65,1000,1500,1.60473,4.70609,7310709242
55.1976,16623,32.8283,0,47,65,1000,1500,1.60473,4.70609,7410766636
59.9377,16684,36.0406,0,48,65,1000,1500,1.61789,4.70203,7510823293
59.8761,16901,36.0406,0,48,65,1000,1500,1.61789,4.70203,7610878230
55.3922,16621,36.0406,0,48,65,1000,1500,1.61789,4.70203,7710933157
56.8411,16645,36.0406,0,48,65,1000,1500,1.61789,4.70203,7810988369
57.422,17202,36.0406,0,48,65,1000,1500,1.61789,4.70203,7911047029
59.988,16670,34.1709,0,48,65,1000,1500,1.60445,4.70476,8011102469
59.9803,16690,34.1709,0,48,65,1000,1500,1.60445,4.70476,8111157940
55.3843,33353,34.1709,0,48,65,1000,1500,1.60445,4.70476,8211216807
56.8359,16672,34.1709,0,48,65,1000,1500,1.60445,4.70476,8311273017
57.5982,16648,34.1709,0,48,65,1000,1500,1.60445,4.70476,8411345652
60.0601,16650,35.3535,0,53,65,1000,1500,1.60445,4.70687,8511361572
60.0019,16692,35.3535,0,53,65,1000,1500,1.60445,4.70687,8611416336
59.9757,16795,35.3535,0,53,65,1000,1500,1.60445,4.70687,8711471572
56.8359,16689,35.3535,0,53,65,1000,1500,1.60445,4.70687,8811526847
57.5972,16671,35.3535,0,53,65,1000,1500,1.60445,4.70687,8911583690
60.0312,16658,32.6633,0,53,65,1000,1500,1.60445,4.70672,9011638762
60.0014,16665,32.6633,0,53,65,1000,1500,1.60445,4.70672,9111695565
