os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16304592,5.10.13-zen1-1-zen,4.6.0 NVIDIA 460.39
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
191.629,4742,86.4516,20,59,40,1037,3505,1.73895,7.51812,2814209
191.775,5555,86.4516,20,59,40,1037,3505,1.73895,7.51812,102872946
202.732,4694,81.3953,18,59,40,1037,3505,1.73895,7.51743,202931274
198.118,3911,81.3953,18,59,40,1037,3505,1.73895,7.51743,302990193
198.481,4901,81.3953,18,59,40,1037,3505,1.73895,7.51743,403070817
198.819,5055,81.3953,18,59,40,1037,3505,1.73895,7.51743,503135730
