os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16304500,5.11.9-zen1-1-zen,4.6 Mesa 20.3.4
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
59.9993,16631,22.3404,0,46,56,501,1500,2.75568,8.97735,190619
59.9968,16643,22.3404,0,46,56,501,1500,2.75568,8.97735,100257007
59.9974,16673,22.3404,0,46,56,501,1500,2.75568,8.97735,200313381
59.9916,16665,16.9811,0,46,55,1000,1500,2.75568,8.97685,300379763
59.9772,16751,16.9811,0,46,55,1000,1500,2.75568,8.97685,400443324
59.9952,16687,16.9811,0,46,55,1000,1500,2.75568,8.97685,500499958
59.9968,16663,16.9811,0,46,55,1000,1500,2.75568,8.97685,600574453
59.998,16632,16.9811,0,46,55,1000,1500,2.75568,8.97685,700630838
60.0114,16680,15.0754,0,46,56,1000,1500,2.75568,8.97735,800696563
59.9961,16682,15.0754,0,46,56,1000,1500,2.75568,8.97735,900753990
59.9942,16600,15.0754,0,46,56,1000,1500,2.75568,8.97735,1000808804
59.9993,16631,15.0754,0,46,56,1000,1500,2.75568,8.97735,1100864134
59.9998,16636,15.0754,0,46,56,1000,1500,2.75568,8.97735,1200919637
60.0006,16675,19.403,0,45,56,1000,1500,2.75568,8.97721,1300976065
60.002,16674,19.403,0,45,56,1000,1500,2.75568,8.97721,1401027204
60.006,16648,19.403,0,45,56,1000,1500,2.75568,8.97721,1501081801
59.9959,16716,19.403,0,45,56,1000,1500,2.75568,8.97721,1601137058
60.0023,16680,19.403,0,45,56,1000,1500,2.75568,8.97721,1701192388
60.116,16674,15.5779,0,45,56,1000,1500,2.75568,8.97762,1801247580
60.0195,16646,15.5779,0,45,56,1000,1500,2.75568,8.97762,1901302601
60.0014,16697,15.5779,0,45,56,1000,1500,2.75568,8.97762,2001357266
60.008,16668,15.5779,0,45,56,1000,1500,2.75568,8.97762,2101412205
60.0016,16679,15.5779,0,45,56,1000,1500,2.75568,8.97762,2201467118
60.1594,16653,18.5,0,45,56,1000,1500,2.75568,8.97767,2301521599
60.0155,16691,18.5,0,45,56,1000,1500,2.75568,8.97767,2401577075
60.0191,16692,18.5,0,45,56,1000,1500,2.75568,8.97767,2501643640
60.0076,16644,18.5,0,45,56,1000,1500,2.75568,8.97767,2601700995
60.005,16729,18.5,0,45,56,1000,1500,2.75568,8.97767,2701757902
59.9952,16668,13.7255,0,45,56,1000,1500,2.75568,8.97812,2801823029
59.9854,16652,13.7255,0,45,56,1000,1500,2.75568,8.97812,2901877953
59.9717,16718,13.7255,0,45,56,1000,1500,2.75568,8.97812,3001935054
59.9956,16648,13.7255,0,45,56,1000,1500,2.75568,8.97812,3101991405
59.9956,16663,13.7255,0,45,56,1000,1500,2.75568,8.97812,3202037048
60.1468,16626,20.1005,0,46,56,1000,1500,2.75568,8.97708,3302103444
60.0302,16605,20.1005,0,46,56,1000,1500,2.75568,8.97708,3402159214
60.0126,16652,20.1005,0,46,56,1000,1500,2.75568,8.97708,3502214416
59.9963,16730,20.1005,0,46,56,1000,1500,2.75568,8.97708,3602269454
60.0008,16690,20.1005,0,46,56,1000,1500,2.75568,8.97708,3702327728
60.0034,16658,13.5922,0,46,55,501,1500,2.75568,8.97686,3802383957
59.9724,16696,13.5922,0,46,55,501,1500,2.75568,8.97686,3902478201
59.9895,16579,13.5922,0,46,55,501,1500,2.75568,8.97686,4002534569
59.9908,16665,13.5922,0,46,55,501,1500,2.75568,8.97686,4102589944
59.9913,16694,13.5922,0,46,55,501,1500,2.75568,8.97686,4202646661
59.9978,16612,20.1005,0,49,56,501,1500,2.75568,8.97732,4302703364
59.9796,16667,20.1005,0,49,56,501,1500,2.75568,8.97732,4402759087
59.9919,16610,20.1005,0,49,56,501,1500,2.75568,8.97732,4502797243
59.9784,16734,20.1005,0,49,56,501,1500,2.75568,8.97732,4602855870
59.9919,16688,20.1005,0,49,56,501,1500,2.75568,8.97732,4702894830
59.99,16730,14.0704,0,49,55,501,1500,2.75568,8.97566,4802950569
59.9994,16683,14.0704,0,49,55,501,1500,2.75568,8.97566,4903006958
59.9967,16689,14.0704,0,49,55,501,1500,2.75568,8.97566,5003072416
60.005,16649,14.0704,0,49,55,501,1500,2.75568,8.97566,5103127437
60.0048,16598,14.0704,0,49,55,501,1500,2.75568,8.97566,5203181998
60.0022,16648,14.0704,0,49,55,501,1500,2.75568,8.97566,5303238291
59.9592,16672,17.6471,0,47,56,1000,1500,2.75568,8.97694,5403293233
59.9939,16650,17.6471,0,47,56,1000,1500,2.75568,8.97694,5503348816
59.9941,16642,17.6471,0,47,56,1000,1500,2.75568,8.97694,5603402281
59.9893,16686,17.6471,0,47,56,1000,1500,2.75568,8.97694,5703471187
59.9992,16635,17.6471,0,47,56,1000,1500,2.75568,8.97694,5803527155
59.9715,16682,14.6465,0,47,56,1000,1500,2.75568,8.97734,5903595958
59.9834,16681,14.6465,0,47,56,1000,1500,2.75568,8.97734,6003651611
59.9823,16682,14.6465,0,47,56,1000,1500,2.75568,8.97734,6103706130
59.9874,16703,14.6465,0,47,56,1000,1500,2.75568,8.97734,6203761005
59.994,16648,14.6465,0,47,56,1000,1500,2.75568,8.97734,6303818148
59.9786,16652,19.0955,0,45,56,1000,1500,2.75568,8.98105,6403886335
59.9854,16713,19.0955,0,45,56,1000,1500,2.75568,8.98105,6503942435
60.0011,16683,19.0955,0,45,56,1000,1500,2.75568,8.98105,6603998543
60.0018,16661,19.0955,0,45,56,1000,1500,2.75568,8.98105,6704028466
59.9937,16730,19.0955,0,45,56,1000,1500,2.75568,8.98105,6804084426
60.0139,16665,15.4229,0,45,55,1000,1500,2.75568,8.97908,6904139561
60.0021,16673,15.4229,0,45,55,1000,1500,2.75568,8.97908,7004210931
59.9918,16709,15.4229,0,45,55,1000,1500,2.75568,8.97908,7104265683
59.9955,16681,15.4229,0,45,55,1000,1500,2.75568,8.97908,7204321446
59.9989,16661,15.4229,0,45,55,1000,1500,2.75568,8.97908,7304387077
60.011,16668,18.593,0,45,56,1000,1500,2.75568,8.97982,7404443374
60.0027,16670,18.593,0,45,56,1000,1500,2.75568,8.97982,7504453896
60.0056,16661,18.593,0,45,56,1000,1500,2.75568,8.97982,7604508223
60.0013,16649,18.593,0,45,56,1000,1500,2.75568,8.97982,7704576643
59.9997,16703,18.593,0,45,56,1000,1500,2.75568,8.97982,7804631630
59.9907,16621,15.122,0,45,56,1000,1500,2.75568,8.97958,7904687768
59.9945,16668,15.122,0,45,56,1000,1500,2.75568,8.97958,8004753117
59.9878,16693,15.122,0,45,56,1000,1500,2.75568,8.97958,8104809571
59.9898,16706,15.122,0,45,56,1000,1500,2.75568,8.97958,8204875274
59.9971,16602,15.122,0,45,56,1000,1500,2.75568,8.97958,8304930028
60.0429,16649,19.598,0,45,56,1000,1500,2.75568,8.97959,8404996647
59.9948,16688,19.598,0,45,56,1000,1500,2.75568,8.97959,8505037974
59.9981,16656,19.598,0,45,56,1000,1500,2.75568,8.97959,8605055496
59.9883,16762,19.598,0,45,56,1000,1500,2.75568,8.97959,8705112984
60.0003,16692,19.598,0,45,56,1000,1500,2.75568,8.97959,8805168360
59.9676,16694,15.534,0,45,56,501,1500,2.75568,8.97878,8905224510
59.9972,16678,15.534,0,45,56,501,1500,2.75568,8.97878,9005289762
60,16665,15.534,0,45,56,501,1500,2.75568,8.97878,9105360020
59.9866,16729,15.534,0,45,56,501,1500,2.75568,8.97878,9205426154
59.9917,16661,15.534,0,45,56,501,1500,2.75568,8.97878,9305491580
60.0132,16606,20.603,0,45,56,501,1500,2.75568,8.97979,9405560182
59.9872,16680,20.603,0,45,56,501,1500,2.75568,8.97979,9505625500
59.994,16662,20.603,0,45,56,501,1500,2.75568,8.97979,9605693843
59.9883,16691,20.603,0,45,56,501,1500,2.75568,8.97979,9705759315
59.9937,16652,20.603,0,45,56,501,1500,2.75568,8.97979,9805816158
60.0132,16678,14.2132,0,45,56,501,1500,2.75568,8.98088,9905881542
59.9616,16688,14.2132,0,45,56,501,1500,2.75568,8.98088,10005953846
59.976,16762,14.2132,0,45,56,501,1500,2.75568,8.98088,10106040708
59.9938,16667,14.2132,0,45,56,501,1500,2.75568,8.98088,10206098686
60,16658,14.2132,0,45,56,501,1500,2.75568,8.98088,10306156452
60.0288,16594,16.9231,0,44,56,501,1500,2.75568,8.97918,10406212034
60.0044,16672,16.9231,0,44,56,501,1500,2.75568,8.97918,10506283158
