os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16304500,5.11.9-zen1-1-zen,4.6 Mesa 20.3.4
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
60.0024,16672,16.8269,0,46,56,501,1500,2.75568,8.97017,136910
60,16647,16.8269,0,46,56,501,1500,2.75568,8.97017,100174573
59.9961,16676,16.8269,0,46,56,501,1500,2.75568,8.97017,200231703
60.0028,16687,16.8269,0,46,56,501,1500,2.75568,8.97017,300287386
59.9991,16643,16.8269,0,46,56,501,1500,2.75568,8.97017,400357300
