os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16304500,5.11.10-zen1-1-zen,4.6 Mesa 21.0.1
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
35.9509,33483,52.2727,0,59,69,1000,1500,2.82839,7.77944,634571
34.9926,32806,52.2727,0,59,69,1000,1500,2.82839,7.77944,100701771
60.0565,16651,49.2537,0,59,69,1000,1500,2.82839,7.77623,200760475
42.8559,16661,49.2537,0,59,69,1000,1500,2.82839,7.77623,300791031
38.5713,30017,49.2537,0,59,69,1000,1500,2.82839,7.77623,400847443
39.0012,33315,49.2537,0,59,69,1000,1500,2.82839,7.77623,500907749
39.2313,33330,49.2537,0,59,69,1000,1500,2.82839,7.77623,600965844
30.0734,33252,50.2538,0,59,70,1000,1500,2.8284,7.79054,701023644
37.4964,33227,50.2538,0,59,70,1000,1500,2.8284,7.79054,801083595
38.5822,33291,50.2538,0,59,70,1000,1500,2.8284,7.79054,901145951
40.9848,17078,50.2538,0,59,70,1000,1500,2.8284,7.79054,1001216215
39.237,33207,50.2538,0,59,70,1000,1500,2.8284,7.79054,1101284698
30.0969,33226,50.2488,0,59,70,1000,1500,2.8284,7.77607,1201342266
38.8057,28952,50.2488,0,59,70,1000,1500,2.8284,7.77607,1301398934
