os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16304500,5.11.9-zen1-1-zen,4.6 Mesa 20.3.4
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
60.0007,16673,22.807,0,50,57,1000,1500,2.75597,8.96292,153372
59.9924,16679,22.807,0,50,57,1000,1500,2.75597,8.96292,100225810
59.999,16666,22.807,0,50,57,1000,1500,2.75597,8.96292,200282768
59.9736,16653,21.8391,0,50,57,501,1500,2.75597,8.96262,300352459
59.9831,16676,21.8391,0,50,57,501,1500,2.75597,8.96262,400366216
59.9971,16633,21.8391,0,50,57,501,1500,2.75597,8.96262,500435238
59.9961,16659,21.8391,0,50,57,501,1500,2.75597,8.96262,600469083
59.9942,16689,21.8391,0,50,57,501,1500,2.75597,8.96262,700524483
60.0247,16651,14.9254,0,50,57,501,1500,2.75597,8.96144,800590908
60.0067,16667,14.9254,0,50,57,501,1500,2.75597,8.96144,900646670
60.0005,16576,14.9254,0,50,57,501,1500,2.75597,8.96144,1000703790
59.9994,16708,14.9254,0,50,57,501,1500,2.75597,8.96144,1100760129
59.9973,16701,14.9254,0,50,57,501,1500,2.75597,8.96144,1200815715
59.9673,16662,20.2899,0,48,57,1000,1500,2.75597,8.96277,1300871364
59.9707,16670,20.2899,0,48,57,1000,1500,2.75597,8.96277,1400877348
59.9905,16670,20.2899,0,48,57,1000,1500,2.75597,8.96277,1500931989
59.9854,16687,20.2899,0,48,57,1000,1500,2.75597,8.96277,1600989113
59.9926,16686,20.2899,0,48,57,1000,1500,2.75597,8.96277,1701044017
59.9925,16617,13.6364,0,48,57,1000,1500,2.75597,8.96123,1801098789
59.9966,16655,13.6364,0,48,57,1000,1500,2.75597,8.96123,1901153604
59.9788,16707,13.6364,0,48,57,1000,1500,2.75597,8.96123,2001208813
59.9869,16722,13.6364,0,48,57,1000,1500,2.75597,8.96123,2101274917
59.9184,17215,13.6364,0,48,57,1000,1500,2.75597,8.96123,2201516813
60.0429,16650,20.5,0,47,57,1000,1500,2.75568,8.96562,2301573423
59.9941,16653,20.5,0,47,57,1000,1500,2.75568,8.96562,2401629071
60.0033,16656,20.5,0,47,57,1000,1500,2.75568,8.96562,2501694919
60.0034,16683,20.5,0,47,57,1000,1500,2.75568,8.96562,2601764831
60.0029,16653,20.5,0,47,57,1000,1500,2.75568,8.96562,2701820504
59.9329,16655,14.0777,0,47,57,1000,1500,2.75568,8.9623,2801889380
59.9892,16650,14.0777,0,47,57,1000,1500,2.75568,8.9623,2901954562
59.9897,16647,14.0777,0,47,57,1000,1500,2.75568,8.9623,3002020630
59.994,16689,14.0777,0,47,57,1000,1500,2.75568,8.9623,3102086838
59.998,16648,14.0777,0,47,57,1000,1500,2.75568,8.9623,3202158280
59.9832,16643,19.1919,0,49,57,1000,1500,2.75568,8.96859,3302224932
