os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16304492,5.11.11-zen1-1-zen,4.6 Mesa 21.0.1
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
41.9882,33433,36.0902,0,51,63,1000,1500,2.39312,4.80797,180382
41.9882,33433,36.0902,0,51,63,1000,1500,2.39312,4.80797,100254705
41.9882,33433,36.0902,0,51,63,1000,1500,2.39312,4.80797,200335509
42.1141,28971,29.4118,0,51,61,1000,1500,2.39312,4.80806,300395471
35.0449,49644,29.4118,0,51,61,1000,1500,2.39312,4.80806,400452139
36.8904,16717,29.4118,0,51,61,1000,1500,2.39312,4.80806,500510075
37.7377,16630,29.4118,0,51,61,1000,1500,2.39312,4.80806,600567689
38.9598,16669,29.4118,0,51,61,1000,1500,2.39312,4.80806,700622846
44.9721,33370,32.8502,0,54,63,1000,1500,2.37943,4.81312,800678655
46.6558,16666,32.8502,0,54,63,1000,1500,2.37943,4.81312,900746221
44.9858,16752,32.8502,0,54,63,1000,1500,2.37943,4.81312,1000802784
43.6319,33291,32.8502,0,54,63,1000,1500,2.37943,4.81312,1100936920
44.4386,16625,32.8502,0,54,63,1000,1500,2.37943,4.81312,1200992171
45.0045,16162,34.8485,0,54,63,1000,1500,2.39508,4.81569,1301047228
41.814,17441,34.8485,0,54,63,1000,1500,2.39508,4.81569,1401263778
43.9413,17011,34.8485,0,54,63,1000,1500,2.39508,4.81569,1501348931
43.638,16677,34.8485,0,54,63,1000,1500,2.39508,4.81569,1601404471
42.8587,16662,34.8485,0,54,63,1000,1500,2.39508,4.81569,1703176488
39.9832,33325,33.3333,0,52,63,1000,1500,2.37943,4.8156,1803234112
44.9947,16594,33.3333,0,52,63,1000,1500,2.37943,4.8156,1903289631
