os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16305176,5.10.3-zen1-1-zen,4.6.0 NVIDIA 455.45.01
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
58.8705,24418,50.5952,71,60,60,1366,3505,3.3905,5.25131,2418976
59.1748,23876,53.8462,71,60,61,1366,3505,3.3905,5.23764,102461217
64.2543,10025,53.8462,71,60,61,1366,3505,3.3905,5.23764,202518240
60.0378,23224,53.8462,71,60,61,1366,3505,3.3905,5.23764,302616482
61.1008,9699,53.8462,71,60,61,1366,3505,3.3905,5.23764,402672199
60.0206,22637,53.8462,71,60,61,1366,3505,3.3905,5.23764,502728423
